BOROUGH,HOUSE,STREET,STREETON,RACKS,RACKTYPE,WORKTYPE,WORKDATE,X,Y
3,392,VAN BRUNT ST,DIKEMAN ST,1,Small,Install,980400,185848
3,398,VAN BRUNT ST,,1,Small,Install,980336,185797
3,375,VAN BRUNT ST,,1,Small,Install,980437,185685
3,414,VAN BRUNT ST,,1,Small,Install,980186,185616
3,391,VAN BRUNT ST,,1,Small,Install,980308,185531
3,383,VAN BRUNT ST,,1,Large,Install,980347,185575
3,34,VAN DYKE ST,,1,Small,Install,980996,184807
3,436,VAN BRUNT ST,,1,Small,Install,979973,185390
3,415,VAN BRUNT ST,,1,Small,Install,980082,185294
3,444,VAN BRUNT ST,,1,Small,Install,979878,185261
3,757,4 AV,,1,Circular,Install,984806,179757
3,783,4 AV,,2,Small,Install,984544,179342
3,216,27 ST,,1,Small,Install,984622,179280
3,4118,2 AV,,1,Circular,Install,980845,177533
3,4421,6 AV,,1,Circular,Install,982925,174849
3,412,45 ST,,1,Circular,Install,981629,175721
3,4618,5 AV,,1,Circular,Install,981852,175035
3,4806,7 AV,,1,Circular,Install,982822,173747
3,4903,6 AV,,1,Circular,Install,982183,173929
3,5818,5 AV,,1,Circular,Install,979911,172587
3,48,5 AV,5 AV,1,Mini‐Hoop,Install,990585,187644
3,216,FLATBUSH AV,,1,Large,Install,991022,187410
3,232,3 ST,,5,Circular,Install,987621,185003
3,252,7 AV,7 AV,1,Mini‐Hoop,Install,989918,183218
3,256,7 AV,7 AV,2,Mini‐Hoop,Install,989819,183116
3,211,8 ST,4 AV,4,Circular,Install,987688,183792
3,312,FLATBUSH AV,,2,Large,Install,991793,185951
3,263,7 AV,7 AV,1,Mini‐Hoop,Install,990017,182950
3,135,PROSPECT PK W,,1,Small,Install,990696,181619
3,154,PROSPECT PK W,,1,Small,Install,990417,181178
3,161,PROSPECT PK W,,1,Small,Install,990341,181055
3,450,FLATBUSH AV,,2,Large,Install,992366,180343
3,524,VANDERBILT AV,,1,Large,Install,993148,187460
3,477,BERGEN ST,,1,Large,Install,991281,187373
3,488,BERGEN ST,,1,Large,Install,991257,187252
3,377,FLATBUSH AV,,1,Small,Install,992111,185771
3,401,FLATBUSH AV,,1,Large,Install,992279,185506
3,766,CLASSON AV,CLASSON AV,1,Circular,Install,995121,184734
3,1485,PACIFIC ST,PACIFIC ST,4,Circular,Install,1000281,186105
3,1402,PACIFIC ST,,2,Circular,Install,999802,185962
3,715,PROSPECT PL,PROSPECT PL,1,Circular,Install,997423,185082
3,840,NOSTRAND AV,,1,Circular,Install,997913,183131
3,844,NOSTRAND AV,,1,Circular,Install,997913,183131
3,846,NOSTRAND AV,,1,Circular,Install,997913,183131
3,850,NOSTRAND AV,,1,Circular,Install,997870,182949
3,809,NOSTRAND AV,,1,Circular,Install,998028,182953
3,880,NOSTRAND AV,NOSTRAND AV,1,Circular,Install,997845,182610
3,321,ROGERS AV,,2,Small,Install,997175,181662
3,975,NOSTRAND AV,,1,Circular,Install,998050,181434
3,967,NOSTRAND AV,,1,Circular,Install,997982,181602
3,1020,NOSTRAND AV,,2,Circular,Install,997812,181005
3,2021,BERGEN ST,BERGEN ST,3,Circular,Install,1008470,185010
3,2094,FULTON ST,,1,Small,Install,1008147,186372
3,219,LEWIS AV,,1,Circular,Install,1002017,190283
3,432,MONROE ST,MADISON ST,3,Circular,Install,1000652,189287
